,Week 0
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,201417,341769,3686,337050,1033,338083,201,152
Kerch,89211,151151,1703,149013,435,149448,89,71
Yevpatoria,61619,106641,2190,103842,609,104451,61,104
Yalta,41695,78320,4028,73076,1216,74292,41,171
Feodosia,38225,67603,2144,64963,496,65459,38,81
Dzhankoy,22067,38341,910,37227,204,37431,22,40
Alushta,17521,30080,551,29356,173,29529,17,23
Bakhchysarai,15649,26604,385,26083,136,26219,15,27
Krasnoperekopsk,14911,25100,149,24898,53,24951,14,7
Saky,14733,24535,49,24464,22,24486,14,1
Armyansk,12790,21445,5,21421,19,21440,12,0
Sudak,9988,16811,0,16797,14,16811,9,0
Belogorsk,9782,16407,0,16397,10,16407,9,0
Shcholkine,6102,10132,0,10123,9,10132,6,0
Staryi Krym,5561,9282,0,9274,8,9282,5,0
Alupka,4749,7826,0,7639,187,7826,4,0

,Week 13
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,214421,341590,8713,330694,2183,332877,214,403
Kerch,94886,151007,3967,146066,974,147040,94,188
Yevpatoria,64587,106393,3925,101270,1198,102468,64,137
Yalta,41340,78129,5940,69956,2233,72189,41,253
Feodosia,39315,67396,3599,62842,955,63797,39,152
Dzhankoy,23006,38186,1778,36006,402,36408,23,71
Alushta,18429,30020,1196,28507,317,28824,18,51
Bakhchysarai,16559,26508,781,25427,300,25727,16,27
Krasnoperekopsk,15993,25079,383,24557,139,24696,16,14
Saky,15893,24467,195,24210,62,24272,15,9
Armyansk,13844,21455,49,21379,27,21406,13,3
Sudak,10818,16790,4,16770,16,16786,10,0
Belogorsk,10592,16362,0,16350,12,16362,10,0
Shcholkine,6603,10195,0,10185,10,10195,6,0
Staryi Krym,6019,9261,0,9251,10,9261,6,0
Alupka,5135,7762,0,7489,273,7762,5,0

,Week 14
City,Budget,Population,Infected,Susceptible,Immune,Healthy,Vaccinated(step),Dead(step)
Simferopol,222130,341114,19594,316780,4740,321520,222,800
Kerch,98173,150460,8509,139739,2212,141951,98,341
Yevpatoria,65721,105984,6480,97163,2341,99504,65,289
Yalta,38971,77817,8220,65853,3744,69597,39,369
Feodosia,38867,67048,5245,59922,1881,61803,38,234
Dzhankoy,23025,38055,2963,34313,779,35092,23,124
Alushta,18656,29911,2287,27044,580,27624,18,92
Bakhchysarai,17047,26446,1371,24501,574,25075,17,54
